iter	MultiClass
0	1.434262432
1	1.316173748
2	1.222927724
3	1.149735071
4	1.091833393
5	1.046142862
6	1.005726942
7	0.9679048851
8	0.9387441576
9	0.9116462804
10	0.8901845114
11	0.8707782228
12	0.8531091107
13	0.8361485285
14	0.8204410023
15	0.8055258848
16	0.7962902811
17	0.7861286068
18	0.776788841
19	0.7676465029
20	0.7606350763
21	0.7541477663
22	0.7466275055
23	0.7405933367
24	0.7354879284
25	0.7296365466
26	0.7241298839
27	0.7202070925
28	0.7164906722
29	0.7137180677
30	0.7097549165
31	0.7061465402
32	0.7022126029
33	0.6993067622
34	0.6974715509
35	0.6958629489
36	0.6941640046
37	0.6910782077
38	0.6884853301
39	0.6865321333
40	0.6847696299
41	0.6827249573
42	0.6812826232
43	0.6799603536
44	0.6787014727
45	0.6771331266
46	0.6761189486
47	0.6749167299
48	0.6732913305
49	0.6704795149
50	0.6693427188
51	0.6683198133
52	0.6673601476
53	0.6662678001
54	0.6649150226
55	0.664186065
56	0.6640219051
57	0.6619474792
58	0.6603122131
59	0.6584727158
60	0.6573924597
61	0.6565379281
62	0.6552845566
63	0.6551686538
64	0.6548183452
65	0.6542992653
66	0.654144005
67	0.6536032261
68	0.6530651591
69	0.6523066462
70	0.6518642094
71	0.6515259859
72	0.6511643128
73	0.6504585977
74	0.6503141971
75	0.6500220518
76	0.6496580727
77	0.6495164307
78	0.6485685483
79	0.6477463349
80	0.6474734649
81	0.6466315441
82	0.6460511354
83	0.6453783153
84	0.6447592662
85	0.6441658615
86	0.6435664618
87	0.6431876126
88	0.6427781773
89	0.6421341021
90	0.6416197856
91	0.641367193
92	0.6411177647
93	0.6410341151
94	0.640655865
95	0.6405566309
96	0.6402715808
97	0.6393607426
98	0.6388154294
99	0.6384773221
100	0.6378028207
101	0.637634239
102	0.6374855855
103	0.636936638
104	0.6363815442
105	0.6356925616
106	0.6351843225
107	0.6344610427
108	0.6342730983
109	0.6338424801
110	0.6331312183
111	0.6327531246
112	0.6321152581
113	0.6315017724
114	0.6310899462
115	0.6310065969
116	0.6305923054
117	0.6305287048
118	0.6299337235
119	0.6292292621
120	0.628984587
121	0.6288098568
122	0.628504313
123	0.627742234
124	0.6273628405
125	0.6271160912
126	0.6266799568
127	0.6261888113
128	0.6254361694
129	0.6247609613
130	0.6245822255
131	0.6242435989
132	0.6239725622
133	0.6234530301
134	0.6232707722
135	0.6227283164
136	0.6223662327
137	0.6215275826
138	0.621196779
139	0.6207742298
140	0.6206029745
141	0.6203152346
142	0.6198110191
143	0.6194305431
144	0.6190854058
145	0.6187969548
146	0.6186997142
147	0.6183667522
148	0.6181581228
149	0.6176918799
150	0.6171615885
151	0.6163849307
152	0.6156935584
153	0.614859922
154	0.6147273544
155	0.6145817073
156	0.6139342594
157	0.6133587995
158	0.6131467867
159	0.6130328716
