iter	Passed	Remaining
351	11343	20882
352	11372	20843
353	11401	20805
354	11436	20778
355	11464	20739
356	11493	20700
357	11523	20665
358	11554	20631
359	11588	20602
360	11617	20564
361	11644	20521
362	11677	20492
363	11715	20470
364	11747	20438
365	11776	20399
366	11804	20360
367	11831	20319
368	11860	20281
369	11892	20248
370	11924	20216
371	11953	20179
372	11984	20145
373	12013	20107
374	12040	20068
375	12070	20031
376	12099	19994
377	12133	19966
378	12164	19931
379	12191	19890
380	12221	19856
381	12254	19825
382	12283	19788
383	12316	19757
384	12348	19726
385	12381	19694
386	12417	19669
387	12450	19637
388	12478	19599
389	12512	19570
390	12546	19542
391	12580	19512
392	12618	19489
393	12653	19461
394	12683	19425
395	12712	19390
396	12744	19357
397	12775	19323
398	12804	19287
399	12838	19258
400	12868	19222
401	12896	19183
402	12926	19149
403	12963	19124
404	12995	19092
405	13026	19058
406	13056	19023
407	13089	18992
408	13118	18955
409	13147	18919
410	13182	18892
411	13211	18854
412	13246	18826
413	13279	18796
414	13307	18758
415	13335	18721
416	13366	18687
417	13399	18656
418	13431	18624
419	13464	18593
420	13496	18561
421	13528	18529
422	13557	18493
423	13586	18456
424	13618	18425
425	13648	18389
426	13681	18359
427	13719	18335
428	13750	18301
429	13783	18271
430	13812	18235
431	13849	18209
432	13884	18181
433	13920	18154
434	13953	18123
435	13992	18100
436	14025	18068
437	14052	18031
438	14082	17995
439	14117	17967
440	14152	17938
441	14184	17906
442	14220	17880
443	14253	17849
444	14282	17812
445	14314	17780
446	14335	17734
447	14370	17705
448	14401	17672
449	14435	17643
450	14467	17611
451	14501	17581
452	14530	17545
453	14559	17509
454	14589	17475
455	14626	17448
456	14659	17418
457	14694	17390
458	14728	17359
459	14758	17325
460	14792	17295
461	14823	17262
462	14857	17231
463	14886	17196
464	14915	17161
465	14942	17123
466	14970	17086
467	14999	17050
468	15037	17025
469	15067	16991
470	15094	16953
471	15125	16920
472	15158	16888
473	15193	16860
474	15221	16824
475	15255	16793
476	15285	16759
477	15317	16727
478	15351	16697
479	15382	16664
480	15416	16634
481	15454	16608
482	15487	16577
483	15525	16551
484	15558	16520
485	15592	16490
486	15624	16458
487	15658	16428
488	15702	16408
489	15733	16375
490	15766	16344
491	15801	16315
492	15834	16284
493	15871	16256
494	15898	16219
495	15931	16188
496	15962	16155
497	15993	16121
498	16024	16088
499	16057	16057
500	16085	16021
501	16115	15987
502	16146	15954
503	16189	15932
504	16218	15896
505	16250	15865
506	16280	15830
507	16312	15798
508	16349	15771
509	16380	15738
510	16429	15722
511	16471	15699
512	16510	15673
513	16544	15643
514	16574	15608
515	16609	15579
516	16649	15555
517	16689	15530
518	16717	15493
519	16744	15456
520	16778	15425
521	16814	15397
522	16848	15366
523	16878	15332
524	16908	15298
525	16939	15265
526	16966	15228
527	16995	15193
528	17025	15158
529	17058	15127
530	17090	15094
531	17124	15064
532	17162	15037
533	17192	15003
534	17222	14969
535	17256	14938
536	17292	14909
537	17322	14875
538	17358	14846
539	17388	14812
540	17418	14778
541	17451	14746
542	17481	14713
543	17513	14680
544	17540	14643
545	17567	14607
546	17594	14571
547	17622	14535
548	17657	14505
549	17688	14472
550	17718	14438
551	17748	14404
552	17782	14374
553	17813	14340
554	17845	14308
555	17875	14274
556	17911	14245
557	17948	14217
558	17980	14184
559	18012	14153
560	18043	14119
561	18074	14086
562	18104	14052
563	18139	14022
564	18169	13989
565	18200	13955
566	18234	13925
567	18266	13892
568	18303	13864
569	18338	13834
570	18371	13802
571	18401	13768
572	18436	13738
573	18470	13707
574	18501	13675
575	18533	13642
576	18563	13608
577	18595	13576
578	18627	13544
579	18666	13516
580	18702	13487
581	18736	13456
582	18775	13429
583	18813	13401
584	18850	13372
585	18882	13340
586	18914	13307
587	18951	13279
588	18995	13254
589	19031	13224
590	19068	13196
591	19104	13166
592	19135	13133
593	19169	13102
594	19207	13073
595	19239	13041
596	19272	13010
597	19306	12978
598	19337	12945
599	19376	12917
600	19410	12886
601	19448	12857
602	19482	12826
603	19510	12791
604	19540	12758
605	19576	12727
606	19606	12694
607	19640	12663
608	19675	12632
609	19711	12602
610	19802	12607
611	19843	12580
612	19875	12547
613	19909	12516
614	19940	12482
615	19973	12451
616	20002	12416
617	20031	12382
618	20061	12348
619	20090	12313
620	20124	12281
621	20156	12249
622	20189	12217
623	20224	12186
624	20253	12151
625	20290	12122
626	20322	12089
627	20355	12057
628	20390	12026
629	20421	11993
630	20461	11965
631	20495	11934
632	20523	11899
633	20558	11868
634	20590	11835
635	20628	11806
636	20671	11779
637	20712	11752
638	20743	11718
639	20776	11686
640	20814	11657
641	20857	11630
642	20898	11603
643	20936	11573
644	20978	11546
645	21013	11515
646	21057	11488
647	21094	11458
648	21132	11429
649	21166	11397
650	21199	11365
651	21233	11333
652	21269	11302
653	21307	11272
654	21344	11242
655	21391	11217
656	21427	11186
657	21465	11156
658	21504	11127
659	21536	11094
660	21564	11059
661	21599	11028
662	21640	10999
663	21670	10965
664	21705	10934
665	21745	10905
666	21778	10873
667	21816	10843
668	21853	10812
669	21887	10780
670	21920	10747
671	21950	10713
672	21987	10683
673	22023	10652
674	22055	10619
675	22086	10585
676	22122	10554
677	22161	10525
678	22194	10492
679	22226	10459
680	22256	10425
681	22295	10395
682	22335	10366
683	22370	10335
684	22410	10305
685	22445	10273
686	22476	10240
687	22513	10209
688	22546	10176
689	22578	10143
690	22617	10114
691	22650	10081
692	22681	10047
693	22711	10013
694	22740	9979
695	22770	9945
696	22804	9913
697	22836	9880
698	22873	9849
699	22903	9815
700	22934	9782
701	22968	9750
702	23000	9717
703	23040	9687
704	23072	9654
705	23108	9623
706	23142	9590
707	23176	9558
708	23209	9525
709	23239	9492
710	23280	9462
711	23314	9430
712	23344	9396
713	23377	9364
714	23413	9332
715	23447	9300
716	23479	9267
717	23513	9235
718	23546	9202
719	23577	9169
720	23611	9136
721	23646	9104
722	23689	9075
723	23724	9044
724	23753	9009
725	23785	8976
726	23818	8944
727	23849	8910
728	23877	8876
729	23907	8842
730	23940	8809
731	23977	8778
732	24013	8747
733	24046	8714
734	24075	8680
735	24111	8648
736	24142	8615
737	24174	8582
738	24205	8548
739	24237	8515
740	24275	8484
741	24308	8452
742	24338	8418
743	24374	8386
744	24408	8354
745	24443	8322
746	24477	8290
747	24514	8259
748	24552	8227
749	24590	8196
750	24633	8167
751	24674	8137
752	24708	8104
753	24739	8071
754	24776	8040
755	24818	8010
756	24854	7978
757	24886	7945
758	24919	7912
759	24954	7880
760	24995	7850
761	25029	7817
762	25061	7784
763	25096	7752
764	25133	7720
765	25171	7689
766	25206	7657
767	25238	7624
768	25277	7593
769	25307	7559
770	25345	7528
771	25378	7495
772	25412	7462
773	25439	7428
774	25471	7394
775	25507	7362
776	25547	7332
777	25577	7298
778	25615	7267
779	25644	7233
780	25685	7202
781	25727	7172
782	25762	7139
783	25798	7107
784	25833	7075
785	25867	7042
786	25899	7009
787	25937	6978
788	25967	6944
789	26002	6912
790	26039	6880
791	26084	6850
792	26119	6818
793	26161	6787
794	26208	6758
795	26249	6727
796	26282	6694
797	26331	6665
798	26373	6634
799	26416	6604
800	26452	6571
801	26484	6538
802	26515	6504
803	26550	6472
804	26587	6440
805	26624	6408
806	26656	6374
807	26689	6342
808	26719	6308
809	26754	6275
810	26789	6243
811	26825	6210
812	26862	6178
813	26896	6145
814	26932	6113
815	26970	6081
816	27000	6047
817	27032	6014
818	27065	5981
819	27095	5947
820	27126	5914
821	27160	5881
822	27197	5849
823	27235	5817
824	27269	5784
825	27312	5753
826	27347	5720
827	27381	5687
828	27411	5654
829	27445	5621
830	27483	5589
831	27514	5555
832	27550	5523
833	27583	5490
834	27620	5457
835	27653	5424
836	27686	5391
837	27723	5359
838	27756	5326
839	27789	5293
840	27823	5260
841	27852	5226
842	27884	5193
843	27918	5160
844	27951	5127
845	27986	5094
846	28016	5060
847	28046	5027
848	28077	4993
849	28109	4960
850	28144	4927
851	28175	4894
852	28211	4861
853	28250	4829
854	28279	4795
855	28314	4763
856	28349	4730
857	28383	4697
858	28416	4664
859	28446	4630
860	28481	4598
861	28515	4565
862	28549	4532
863	28583	4499
864	28619	4466
865	28649	4433
866	28680	4399
867	28710	4366
868	28742	4332
869	28777	4300
870	28816	4267
871	28845	4234
872	28879	4201
873	28907	4167
874	28940	4134
875	28971	4100
876	29006	4068
877	29041	4035
878	29076	4002
879	29105	3968
880	29133	3935
881	29166	3902
882	29196	3868
883	29232	3835
884	29264	3802
885	29295	3769
886	29327	3736
887	29365	3703
888	29398	3670
889	29435	3638
890	29474	3605
891	29507	3572
892	29543	3539
893	29580	3507
894	29611	3473
895	29646	3441
896	29689	3409
897	29727	3376
898	29762	3343
899	29802	3311
900	29837	3278
901	29913	3250
902	29985	3220
903	30019	3187
904	30054	3154
905	30088	3121
906	30145	3091
907	30197	3059
908	30245	3027
909	30287	2995
910	30328	2962
911	30371	2930
912	30421	2898
913	30462	2866
914	30499	2833
915	30531	2799
916	30570	2767
917	30617	2734
918	30651	2701
919	30687	2668
920	30727	2635
921	30763	2602
922	30795	2569
923	30837	2536
924	30881	2503
925	30919	2470
926	30954	2437
927	30993	2404
928	31032	2371
929	31079	2339
930	31112	2305
931	31151	2272
932	31192	2239
933	31228	2206
934	31268	2173
935	31302	2140
936	31358	2108
937	31398	2075
938	31436	2042
939	31474	2008
940	31509	1975
941	31560	1943
942	31596	1909
943	31628	1876
944	31663	1842
945	31703	1809
946	31740	1776
947	31773	1742
948	31803	1709
949	31839	1675
950	31873	1642
951	31910	1608
952	31951	1575
953	31991	1542
954	32037	1509
955	32070	1476
956	32112	1442
957	32148	1409
958	32191	1376
959	32227	1342
960	32268	1309
961	32308	1276
962	32346	1242
963	32380	1209
964	32414	1175
965	32451	1142
966	32486	1108
967	32520	1075
968	32561	1041
969	32595	1008
970	32628	974
971	32668	941
972	32709	907
973	32746	874
974	32780	840
975	32818	807
976	32861	773
977	32911	740
978	32946	706
979	32981	673
980	33017	639
981	33055	605
982	33095	572
983	33129	538
984	33170	505
985	33210	471
986	33245	437
987	33284	404
988	33325	370
989	33364	337
990	33404	303
991	33442	269
992	33477	235
993	33518	202
994	33559	168
995	33594	134
996	33632	101
997	33667	67
998	33704	33
999	33740	0
